Resistor,BandVoltage1,BandVoltage2,BandVoltage3,BandVoltage4,BandVoltage5,Average,StandardDev,StandardError
short,0.0001189,0.0001188,0.0001192,0.0001188,0.0001193,,,
k1,0.0001326,0.0001326,0.0001323,0.0001323,0.0001325,,,
k10,0.0002171,0.0002167,0.0002177,0.0002178,0.0002173,,,
k20,0.0006556,0.0002834,0.000283,0.0002836,0.0002834,,,
k32,0.0003573,0.0003579,0.0003574,0.0003571,0.0003572,,,
k48,0.0004124,0.0004134,0.0004411,0.0004129,0.0004128,,,
k100,0.000546,0.0005442,0.0005439,0.0005461,0.0005454,,,
