Resistor,BandVoltage1,BandVoltage2,BandVoltage3,BandVoltage4,BandVoltage5,Average,StandardDev,StandardError
short,0.0000479,0.00004768,0.0000475,0.00004768,0.0004792,0.000133992,0.000172604,7.71909E-05
k1,0.00005323,0.00005322,0.00005333,0.00005335,0.00005319,0.000053264,6.37495E-08,2.85096E-08
k10,0.00008712,0.00008677,0.00008652,0.00008662,0.00008667,0.00008674,2.06398E-07,9.23038E-08
k20,0.0001134,0.0001135,0.000113,0.0001132,0.000113,0.00011322,2.03961E-07,9.1214E-08
k32,0.0001432,0.000143,0.0001425,0.0001422,0.0001422,0.00014262,4.11825E-07,1.84174E-07
k48,0.0001656,0.0001661,0.0001664,0.0001669,0.0001667,0.00016634,4.58694E-07,2.05134E-07
k100,0.0002191,0.0002151,0.0002158,0.0002158,0.0002157,0.0002163,1.42408E-06,6.36867E-07
