Resistor,BandVoltage1,BandVoltage2,BandVoltage3,BandVoltage4,BandVoltage5,Average,StandardDev,StandardError
short,0.0001186,0.0001187,0.0001188,0.0001187,0.0001187,0.0001187,6.32456E-08,2.82843E-08
k1,0.000163,0.000163,0.0001628,0.0001627,0.0001627,0.00016284,1.35647E-07,6.0663E-08
k10,0.0003725,0.0003723,0.0003723,0.0003722,0.0003719,0.00037224,1.95959E-07,8.76356E-08
k20,0.0005463,0.0005151,0.0005112,0.000512,0.0005117,0.00051926,1.35889E-05,6.07714E-06
k32,0.0006622,0.000661,0.0006606,0.000661,0.0006628,0.00066152,8.35225E-07,3.73524E-07
k48,0.0007754,0.0007714,0.0007747,0.0007717,0.0007742,0.00077348,1.62407E-06,7.26306E-07
k100,0.001033,0.001055,0.001031,0.0011,0.00103,0.0010498,2.67387E-05,1.19579E-05
