Resistor,BandVoltage1,BandVoltage2,BandVoltage3,BandVoltage4,BandVoltage5,Average,StandardDev,StandardError
short,0.0001189,0.0001188,0.0001192,0.0001168,0.0001193,0.0001186,9.18695E-07,4.10853E-07
k1,0.0001326,0.0001326,0.0001323,0.0001323,0.0001325,0.00013246,1.35647E-07,6.0663E-08
k10,0.0002171,0.0002167,0.0002177,0.0002178,0.0002173,0.00021732,4.01995E-07,1.79778E-07
k20,0.0002556,0.0002834,0.000283,0.0002836,0.0002834,0.0002778,1.11017E-05,4.96484E-06
k32,0.0003573,0.0003579,0.0003574,0.0003571,0.0003572,0.00035738,2.78568E-07,1.24579E-07
k48,0.0004124,0.0004134,0.0004411,0.0004129,0.0004128,0.00041852,1.12945E-05,5.05105E-06
k100,0.000546,0.0005442,0.0005439,0.0005461,0.0005454,0.00054512,9.10824E-07,4.07333E-07
